SKU,Categories,Stock,Price,Name
021130280490,Grocery Non-Taxable,1,499,Sanks
021130333059,Grocery Non-Taxable,1,50,Sanks
021130335169,Grocery Non-Taxable,1,99,Whole
021130370207,Grocery Non-Taxable,1,199,Safeway:Chicken Broth
021130370221,Dairy,1,100,Hbm
021130372201,Grocery Non-Taxable,1,99,Noodle
021130451302,Grocery Non-Taxable,1,499,Coffe
021130491018,Grocery Non-Taxable,1,99,Paste
021130505982,Grocery Non-Taxable,1,149,Signature Mac & cheese
021130512867,Grocery Non-Taxable,1,429,"Safeway:Canola Oil, 100% Pure"
021200000003,Household,1,159,Scotch-brite Scrub Sponge - Heavy Duty
021273100129,Grocery Non-Taxable,1,449,"Gunter's:Pure Honey, Clover"
021273500165,Grocery Non-Taxable,1,499,Pure Honey Orange Blossom
021400058651,Household,1,549,Formula shell 10w-40
021500013291,Grocery Non-Taxable,1,249,Lawry's Seasoned
021500013307,Grocery Non-Taxable,1,249,Lawry's Seasoned Salt
021854002026,Household,1,349,"Duct Tape Silver - 1.89"""" x 30 Yards"
022000000675,Candy,1,135,Hubba Bubba Max:5 Pc Strawberry-Watermelon 8/
022000000897,Candy,1,199,Orbit White
022000000941,Candy,1,225,Orbit White
022000001122,Candy,1,125,Minis sour
022000001719,Candy,1,35,Spearmint
022000001726,Candy,1,35,Doublemint
022000001733,Candy,1,35,Juicy Fruit
022000001740,Candy,1,35,Big Red
022000001788,Candy,1,35,Winterfresh
022000002709,Candy,1,135,Hubba Bubba Max:5 Pc Outrageous Original 8/
022000003591,Candy,1,99,Life Savers / Gummies:Gummies Wild Berries 12/3.5 Oz Theater Box
022000004345,Candy,1,149,Life Savers:Hard 5 Flavors
022000004796,Candy,1,169,Juicy fruit
022000004833,Candy,1,199,Orbit:Sweet Mint Sugar Free
022000004840,Candy,1,199,Orbit Spearmint
022000004864,Candy,1,199,Orbit:Peppermint Sugar Free
022000004888,Candy,1,199,Orbit WinterMint
022000004895,Candy,1,199,Orbit Bubblemint
022000005120,Candy,1,199,5 Peppermint Cobalt
022000005144,Candy,1,189,Wrigley's 5 Spearmint - Rain
022000006653,Candy,1,199,Spearmint
022000006660,Candy,1,199,Doublemint 15 sticks
022000006677,Candy,1,179,Juicy Fruit Slim Pack
022000006684,Candy,1,199,Big Red
022000006691,Candy,1,199,Winterfresh 15 sticks
022000006868,Candy,1,100,Spearmint:5 Ct
022000006875,Candy,1,100,Doublemint:5 Stk 4pk 10/
022000006905,Grocery Non-Taxable,1,99,Winterfresh:5 Ct
022000007681,Snacks,1,249,Altoids Artic Wintergreen
022000007698,Candy,1,199,Altoids Arctic Peppermint
022000008381,Candy,1,189,Extra Sweet Watermelon
022000008404,Candy,1,189,Extra Winterfresh Sugarfree
022000008459,Candy,1,189,Extra Classic Bubble Sugarfree
022000008565,Grocery Non-Taxable,1,100,extra
022000008916,Candy,1,199,Extra Peppermint
022000008985,Candy,1,189,Extra Polar Ice Sugarfree
022000008992,Candy,1,199,Extra Spearmint Sugarfree
022000009739,Snacks,1,199,Altoids:Peppermint Sugar Free .37 Oz
022000009951,Snacks,1,249,Altoids Arctic Strawberry
022000011794,Grocery Non-Taxable,1,125,Orbit Tropical Remix
022000011879,Grocery Non-Taxable,1,75,Starburst Original
022000012098,Grocery Non-Taxable,1,199,Orbit Strawberry
022000012104,Condiments,1,125,Orbit for Kids:Original Bubble Gum
022000014634,Candy,1,289,Life Savers / Gummies:Collisions
022000014641,Candy,1,189,Life Savers / Gummies:5 Flavors
022000015532,Candy,1,189,5 Wintermint Ascent
022000016478,Candy,1,100,Starburst Superfruit Flavor
022000016560,Candy,1,125,Skittles Orchards
022000016690,Candy,1,189,5 Sour Strawberry Flood
022000016935,Candy,1,199,Bubble Tape Sour Flavor Blubble Gum
022000017352,Candy,1,125,Skittles Sweets & Sour
022000017468,Candy,1,179,Orbit Citrus Remix
022000017499,Candy,1,179,Wrigley's Juicy Fruit Starburst:Strawberry
022000017871,Candy,1,299,Extra Spearmint 35
022000017888,Candy,1,299,EXTRA POLAR ICE
022000018328,Grocery Non-Taxable,1,99,Jjjj
022000018809,Dairy,1,100,Starburst: Summer Splash
022000019233,Candy,1,299,Life Savers / Gummies:Collisions
022000019691,Candy,1,299,Starburst Gummies Sour
022000019707,Candy,1,249,Starburst
022000019882,Candy,1,149,Starbusrt All Pink
022000020154,Snacks,1,249,starburst minis
022000021090,Candy,1,189,Wrigleys Juicy Fruit 15 sticks
022000021106,Candy,1,189,Tropical berry
022000021243,Candy,1,249,Starburst
022000073563,Candy,1,299,Skittles Wild Berry + Tropical
